,Name_2021,games_exceeded_2021,games_played_2021,momentum_x,avg_delta_2021,Name_2020,games_exceeded_2020,games_played_2020,momentum_y,avg_delta_2020,21_20_merge,Name_2019,games_exceeded_2019,games_played_2019,momentum,avg_delta_2019,21_19_merge,cum_games,cum_exceeded,cum_momentum,cum_avg_delta,multiplier
354,Stefon Diggs,1,5,0.2,-4.4,Stefon Diggs,13.0,15.0,0.8666666666666667,11.313333333333333,both,Stefon Diggs,5.0,10.0,0.5,5.540000000000001,both,30.0,19.0,0.6333333333333333,4.1899999999999995,1.05
356,Sterling Shepard,2,3,0.6666666666666666,2.7666666666666675,,0.0,0.0,,0.0,left_only,Sterling Shepard,5.0,9.0,0.5555555555555556,3.044444444444445,both,12.0,7.0,0.5833333333333334,1.3833333333333337,1.05
357,T.J. Hockenson,2,5,0.4,-0.9999999999999993,,0.0,0.0,,0.0,left_only,T.J. Hockenson,1.0,1.0,1.0,2.5999999999999996,both,6.0,3.0,0.5,-1.6666666666666654,1.0
362,Taysom Hill,2,5,0.4,3.16,Taysom Hill,3.0,4.0,0.75,4.175,both,,0.0,0.0,,0.0,left_only,9.0,5.0,0.5555555555555556,5.366666666666666,1.05
363,Teddy Bridgewater,3,5,0.6,-1.1199999999999999,Teddy Bridgewater,8.0,14.0,0.5714285714285714,1.457142857142857,both,Teddy Bridgewater,3.0,4.0,0.75,6.575,both,23.0,14.0,0.6086956521739131,0.39999999999999997,1.05
367,Terry McLaurin,2,5,0.4,2.459999999999999,Terry McLaurin,11.0,11.0,1.0,8.245454545454546,both,Terry McLaurin,7.0,8.0,0.875,6.075,both,24.0,20.0,0.8333333333333334,4.804166666666666,1.1
368,Tevin Coleman,1,4,0.25,-2.05,,0.0,0.0,,0.0,left_only,Tevin Coleman,2.0,5.0,0.4,4.639999999999999,both,9.0,3.0,0.3333333333333333,-1.822222222222222,0.95
370,Tom Brady,4,5,0.8,4.840000000000001,Tom Brady,9.0,15.0,0.6,5.720000000000001,both,Tom Brady,7.0,15.0,0.4666666666666667,0.24666666666666673,both,35.0,20.0,0.5714285714285714,3.834285714285715,1.05
377,Travis Kelce,3,5,0.6,-0.620000000000001,Travis Kelce,13.0,14.0,0.9285714285714286,11.97857142857143,both,Travis Kelce,7.0,15.0,0.4666666666666667,0.646666666666667,both,34.0,23.0,0.6764705882352942,4.750000000000001,1.05
384,Tua Tagovailoa,1,2,0.5,-8.250000000000002,Tua Tagovailoa,5.0,6.0,0.8333333333333334,5.6000000000000005,both,,0.0,0.0,,0.0,left_only,8.0,6.0,0.75,0.07499999999999929,1.1
388,Tyler Boyd,2,5,0.4,-0.8399999999999996,Tyler Boyd,4.0,4.0,1.0,11.549999999999999,both,Tyler Boyd,6.0,12.0,0.5,4.008333333333334,both,21.0,12.0,0.5714285714285714,1.8000000000000003,1.05
390,Tyler Higbee,2,5,0.4,-1.7599999999999998,,0.0,0.0,,0.0,left_only,Tyler Higbee,5.0,5.0,1.0,13.420000000000002,both,10.0,7.0,0.7,-1.7599999999999998,1.05
393,Tyler Lockett,2,5,0.4,0.8999999999999989,Tyler Lockett,7.0,8.0,0.875,13.187499999999998,both,Tyler Lockett,7.0,11.0,0.6363636363636364,5.081818181818182,both,24.0,16.0,0.6666666666666666,4.770833333333333,1.05
394,Tyreek Hill,2,5,0.4,3.4800000000000004,Tyreek Hill,12.0,14.0,0.8571428571428571,10.778571428571428,both,Tyreek Hill,4.0,10.0,0.4,2.1700000000000004,both,29.0,18.0,0.6206896551724138,6.403448275862069,1.05
395,Tyrell Williams,0,1,0.0,-7.1,,0.0,0.0,,0.0,left_only,Tyrell Williams,6.0,8.0,0.75,3.3,both,9.0,6.0,0.6666666666666666,-1.5777777777777777,1.05
400,Wayne Gallman,1,2,0.5,-0.6499999999999999,Wayne Gallman,2.0,3.0,0.6666666666666666,4.300000000000001,both,Wayne Gallman,1.0,1.0,1.0,16.3,both,6.0,4.0,0.6666666666666666,1.7166666666666668,1.05
401,Will Dissly,2,4,0.5,-0.5749999999999995,,0.0,0.0,,0.0,left_only,Will Dissly,2.0,2.0,1.0,4.8999999999999995,both,6.0,4.0,0.6666666666666666,-0.766666666666666,1.05
402,William Fuller V,0,2,0.0,-5.800000000000001,William Fuller V,7.0,7.0,1.0,12.257142857142858,both,William Fuller V,2.0,6.0,0.3333333333333333,7.6833333333333345,both,15.0,9.0,0.6,4.173333333333335,1.05
404,Zach Ertz,2,5,0.4,-0.9799999999999995,,0.0,0.0,,0.0,left_only,Zach Ertz,7.0,10.0,0.7,4.540000000000001,both,15.0,9.0,0.6,-0.653333333333333,1.05
405,Zach Pascal,2,5,0.4,1.6600000000000001,,0.0,0.0,,0.0,left_only,Zach Pascal,3.0,3.0,1.0,9.4,both,8.0,5.0,0.625,2.075,1.05
